i_bin,x,y,z, hj_w_jets_bin,hj_w_tau_jets_bin, hj_q_jets_bin,hj_q_tau_jets_bin, hjm_w_jets_bin,hjm_w_tau_jets_bin, hjm_q_jets_bin,hjm_q_tau_jets_bin
97, 14.5,-2.25,0.03, 0,0,0,0, 0,0,0,0
109, 14.5,-0.975,0.03, 0,0,0,0, 0,0,0,0
121, 14.5,0,0.03, 0,0,0,0, 0,0,0,0
133, 14.5,0.975,0.03, 0,0,0,0, 0,0,0,0
145, 14.5,2.25,0.03, 0,0,0,0, 0,0,0,0
98, 31,-2.25,0.03, 0,0,59,3, 0,0,1,0
110, 31,-0.975,0.03, 0,0,23,3, 0,0,0,0
122, 31,0,0.03, 0,0,40,3, 0,0,0,0
134, 31,0.975,0.03, 0,0,25,2, 0,0,0,0
146, 31,2.25,0.03, 0,0,52,2, 0,0,1,0
99, 35,-2.25,0.03, 0,0,54,3, 0,0,0,0
111, 35,-0.975,0.03, 0,0,32,3, 0,0,0,0
123, 35,0,0.03, 0,0,37,5, 0,0,0,0
135, 35,0.975,0.03, 0,0,43,1, 0,0,0,0
147, 35,2.25,0.03, 0,0,81,2, 0,0,0,0
100, 38.5,-2.25,0.03, 0,0,45,8, 0,0,0,0
112, 38.5,-0.975,0.03, 0,0,23,3, 0,0,0,0
124, 38.5,0,0.03, 0,0,39,6, 0,0,0,0
136, 38.5,0.975,0.03, 0,0,26,2, 0,0,0,0
148, 38.5,2.25,0.03, 0,0,51,6, 0,0,0,0
101, 41.5,-2.25,0.03, 0,0,58,7, 0,0,0,0
113, 41.5,-0.975,0.03, 0,0,27,3, 0,0,0,0
125, 41.5,0,0.03, 0,0,34,3, 0,0,0,0
137, 41.5,0.975,0.03, 0,0,45,2, 0,0,0,0
149, 41.5,2.25,0.03, 0,0,59,7, 0,0,0,0
102, 44,-2.25,0.03, 0,0,38,2, 0,0,0,0
114, 44,-0.975,0.03, 0,0,16,1, 0,0,0,0
126, 44,0,0.03, 0,0,28,3, 0,0,0,0
138, 44,0.975,0.03, 0,0,11,1, 0,0,0,0
150, 44,2.25,0.03, 0,0,43,3, 0,0,0,0
103, 46.5,-2.25,0.03, 0,0,38,3, 0,0,0,0
115, 46.5,-0.975,0.03, 0,0,17,0, 0,0,0,0
127, 46.5,0,0.03, 0,0,37,5, 0,0,0,0
139, 46.5,0.975,0.03, 0,0,38,3, 0,0,0,0
151, 46.5,2.25,0.03, 0,0,72,4, 0,0,0,0
104, 52,-2.25,0.03, 0,0,138,15, 0,0,0,0
116, 52,-0.975,0.03, 0,0,68,6, 0,0,0,0
128, 52,0,0.03, 0,0,74,4, 0,0,0,0
140, 52,0.975,0.03, 0,0,76,7, 0,0,0,0
152, 52,2.25,0.03, 0,0,161,7, 0,0,0,0
105, 59.5,-2.25,0.03, 0,0,99,8, 0,0,0,0
117, 59.5,-0.975,0.03, 0,0,61,4, 0,0,0,0
129, 59.5,0,0.03, 0,0,67,6, 0,0,0,0
141, 59.5,0.975,0.03, 0,0,49,1, 0,0,0,0
153, 59.5,2.25,0.03, 0,0,103,7, 0,0,0,0
106, 281.5,-2.25,0.03, 0,0,497,12, 0,0,0,0
118, 281.5,-0.975,0.03, 0,0,310,8, 0,0,0,0
130, 281.5,0,0.03, 0,0,397,11, 0,0,1,0
142, 281.5,0.975,0.03, 0,0,311,10, 0,0,0,0
